Clanmate,Total
alohaboy96,25
Nali,23
Ayra,21
Neraning,20
Ryn,20
Sinwing,17
Varmo,15
Mozuru,15
Aeneis,13
Nimvenilas2,13
Pescado,12
ren,12
Kelekil2,11
Feginir,9
NoSilver,9
Nimvenilas,8
Ayulina,8
Luchdisilas,8
Paindweller,8
Elanin,8
Dagdarim,7
Kelekil,7
Polanie,6
Finkayilas,5
Silverwind,5
Tebur,5
Mikalkree,5
Ferodad,4
Aybriman,4
BRUCO PL,4
Vizshura,4
Faeglil,3
Andailas,3
Nandy44,3
Earninef,3
Serduel,3
VARMO II,3
Aegrond,3
Kodenmi,3
Mauro Leo II,2
Aragorn,2
Magayilas,2
Kodenmi,2
Neraning2 NO SILVER,1
Patrik,1
Mauro Leo 11,1
Nimdaing,1
Kemand,1
Ironfist,1
Deranen,1
Aybriman,1
Maris,1
Knatterdrache,1
